module;timestamp;io_context;count;action;source;target;query;duration_ms;user;cwd;meta;caller_1_file;caller_1_line;caller_1_function;caller_2_file;caller_2_line;caller_2_function;caller_3_file;caller_3_line;caller_3_function;caller_4_file;caller_4_line;caller_4_function;caller_5_file;caller_5_line;caller_5_function;caller_6_file;caller_6_line;caller_6_function;caller_7_file;caller_7_line;caller_7_function;caller_8_file;caller_8_line;caller_8_function;caller_9_file;caller_9_line;caller_9_function;caller_10_file;caller_10_line;caller_10_function
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pd_to_csv;;/Users/gregorheyne/Documents/coding/data_lineage/tmp_data_io/sample_data.csv;;9.361708995129447;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{};/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;12;save_data;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;27;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3639;run_ast_nodes;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3394;run_cell_async;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/async_helpers.py;128;_pseudo_sync_runner;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3171;_run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3116;run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/ipykernel/zmqshell.py;663;run_cell
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pd_to_pickle;;/Users/gregorheyne/Documents/coding/data_lineage/tmp_data_io/sample_data.pkl;;0.29866600380046293;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{};/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;13;save_data;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;27;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3639;run_ast_nodes;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3394;run_cell_async;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/async_helpers.py;128;_pseudo_sync_runner;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3171;_run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3116;run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/ipykernel/zmqshell.py;663;run_cell
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pd_read_csv;/Users/gregorheyne/Documents/coding/data_lineage/tmp_data_io/sample_data.csv;;;1.325000004726462;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{};/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;21;load_data;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;30;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3639;run_ast_nodes;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3394;run_cell_async;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/async_helpers.py;128;_pseudo_sync_runner;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3171;_run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3116;run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/ipykernel/zmqshell.py;663;run_cell
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pd_read_pickle;/Users/gregorheyne/Documents/coding/data_lineage/tmp_data_io/sample_data.pkl;;;0.1434580044588074;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{};/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;22;load_data;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;30;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3639;run_ast_nodes;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3394;run_cell_async;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/async_helpers.py;128;_pseudo_sync_runner;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3171;_run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3116;run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/ipykernel/zmqshell.py;663;run_cell
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pyodbc.cursor.execute;;;"
        SELECT
            name
        FROM
            sqlite_master
        WHERE
            type IN ('table', 'view')
            AND name=?;
        ";0.13987500278744847;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{'status': 'success'};/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2664;execute;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2855;has_table;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;972;exists;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;986;create;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2840;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;844;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/core/generic.py;3109;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/util/_decorators.py;333;wrapper;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;31;pd_to_sqlite_db;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;37;run_primary_tests
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pyodbc.cursor.execute;;;"DROP TABLE ""random_data""";0.18537500000093132;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{'status': 'success'};/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2664;execute;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2862;drop_table;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;990;create;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2840;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;844;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/core/generic.py;3109;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/util/_decorators.py;333;wrapper;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;31;pd_to_sqlite_db;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;37;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pyodbc.cursor.execute;;;"CREATE TABLE ""random_data"" (
""col_1"" REAL,
  ""col_2"" REAL,
  ""col_3"" REAL,
  ""col_4"" REAL,
  ""col_5"" REAL,
  ""col_6"" REAL,
  ""col_7"" REAL,
  ""col_8"" REAL,
  ""col_9"" REAL,
  ""col_10"" REAL
)";0.04429199907463044;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{'status': 'success'};/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2514;_execute_create;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;991;create;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2840;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;844;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/core/generic.py;3109;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/util/_decorators.py;333;wrapper;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;31;pd_to_sqlite_db;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;37;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pyodbc.cursor.executemany;;;"INSERT INTO ""random_data"" (""col_1"",""col_2"",""col_3"",""col_4"",""col_5"",""col_6"",""col_7"",""col_8"",""col_9"",""col_10"") VALUES (?,?,?,?,?,?,?,?,?,?)";2.9565419972641394;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{'status': 'success'};/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2537;_execute_insert;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;1121;insert;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2841;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;844;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/core/generic.py;3109;to_sql;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/util/_decorators.py;333;wrapper;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;31;pd_to_sqlite_db;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;37;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pyodbc.cursor.execute;;;"SELECT * FROM random_data LIMIT 100;";0.4746669947053306;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{'status': 'success'};/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2664;execute;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;2728;read_query;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/pandas/io/sql.py;708;read_sql;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;41;read_sql_sqlite;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;41;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3639;run_ast_nodes;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3394;run_cell_async;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/async_helpers.py;128;_pseudo_sync_runner
test_module;2025-12-15 11:31:33;primary_tests-io_ctx_id-ad0dbc15-4cb9-4029-8188-913a2f1fc258;1;pd_read_sql;<data_lineage.runtime_hooks.io_hooks_py._HookedPyodbcConnection object at 0x124fa24d0>;;"SELECT * FROM random_data LIMIT 100;";4.905374997179024;gregorheyne;/Users/gregorheyne/Documents/coding/data_lineage;{};/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_utils.py;41;read_sql_sqlite;/Users/gregorheyne/Documents/coding/data_lineage/tests/io_tests_primary.py;41;run_primary_tests;<ipython-input-1-e6c6a9cad5b1>;9;<module>;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3699;run_code;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3639;run_ast_nodes;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3394;run_cell_async;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/async_helpers.py;128;_pseudo_sync_runner;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3171;_run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/IPython/core/interactiveshell.py;3116;run_cell;/Users/gregorheyne/miniconda3/envs/transfer/lib/python3.11/site-packages/ipykernel/zmqshell.py;663;run_cell
